"Firstname";" Lastname";" Address";" City";" Zipcode";" State";" Country"
"Carole";" Fortner";" 3739 Buena Vista Avenue";" North Bend";" 97459";" Oregon";" USA"
"Terri";" Lockhart";" 890 Edgewood Road";" Pine Bluff";" 71601";" Arizona";" USA"
"Eugene";" Moore";" 1964 Rebecca Street";" Oak Brook";" 60523";" Illinois";" USA"
"James";" Rew";" 2662 Clousson ROad";" Movile";" 51039";" Iowa";" USA"
"John";" Warren";" 1122 Walt Nuzum Farm Road";" Brighton";" 14623";" New York";" USA"
"Teresa";" Jones";" 4469 Black Stallion Road";" Lexington";" 40511";" Kentucky";" USA"
"Karolin";" Nacht";" Koepenicker Str. 86";" Dachsenhausen";" 56340";"";" Deutschland"
"Jessika";" Fielder";" Brandenburgische Str. 45";" Carlsberg";" 67316";"";" Deutschland"
"Matthias";" Eggers";" Kieler Str. 32";" Tittmoning";" 84529";"";" Deutschland"
"Jörg";" Grunewald";" Unter den Linden 75";" Magdeburg";" 39014";"";" Deutschland"
"Demi";" Sutton";" 53 Telford Street";" Began";" CF3 7FY";"";" United Kingdom"
"Lily";" George";" 74 Guildford Rd";" East Lutton";" YO17 7QD";"";" United Kingdom"
"Evie";" Coates";" 48 Bootham Crescent";" Rivar";" SN8 3WL";"";" United Kingdom"
"Tyler";" Morrison";" 3 Gloddaeth Street";" Birdlip";" GL4 2PE";"";" United Kingdom"
"Cameron";" Dale";" 26 Mounthoolie Lane";" Summercourt";" TR8 6XR";"";" United Kingdom"
"Nicolas";" Rhéaume";" 34 rue de la Boétie";" Pontault-Combault";" 77340";"";" France"
"Philippe";" Cadieux";" 23 rue des Lacs";" Hénin-Beaumont";" 62110";"";" France"
"Julien";" Déziel";" 67 boulevard de Prague";" Niort";" 79000";"";" France"
"Matilda";" Guillemette";" 15 rue Charles Corbeau";" Evry";" 91000";"";" France"
"Matthieu";" Boucher";" 47 place Stanislas";" Nancy";" 54100";"";" France"
"Eléonore";" Thivirge";" 96 rue Nationale";" Paris";" 75004";"";" France"
"Alain";" Chartier";" 52 avenue de Provence";" Valence";" 26000";"";" France"
"Lilla";" Bellucci";" Via del Viminale 99";" San Benedetto";" 09010";"";" Italia"
"Tiziano";" Ricci";" Via Nolana 108";" Pitelli";" 19137";"";" Italia"
"Rufino";" Calabresi";" Via dei Fiorentini 150";" Pozzuoli";" 80078";"";" Italia"
